,Player,Rank,,,,,,,,,,
,,,,,,,,,,,,
☑️,Genius,Immortal,7,Salt,TEAM 1,Ginger,Shuttershy,Short Shorts,Baby Bird,Grease,☑️,
☑️,Highbeam,Immortal,,Flyby,TEAM 2,Genius,Sassafras,Rufio,Flyby,Chewbacca,☑️,
☑️,Juicy,Immortal,,Miss Piggy,TEAM 3,Highbeam,Lulu,Little Bear,Jet,Chain,,LoremIpsum
☑️,Baldie,Immortal,,Ginger,TEAM 4,Juicy,Raisin,Popeye,Red Velvet,Buds,,
☑️,Big Nasty,Immortal,,Cumulus,TEAM 5,Baldie,Lefty,Slim,Coach,Janitor,☑️,
☑️,Frau Frau,Immortal,,Tickles,TEAM 6,Big Nasty,Thumper,Miss Piggy,Donuts,Honeybun,,
☑️,Thor,Immortal,,Halfmast,TEAM 7,Headlights,Rubber,Backbone,Darling,Tough Guy,,LoremIpsum
☑️,Headlights,Immortal,6,Gizmo,TEAM 8,Frau Frau,Twig,Goose,T-Dawg,Dingo,☑️,
☑️,Ginger,Ascendant,,C-Dawg,TEAM 9,Thor,Dearest,Bossy,Bellbottoms,Belch,☑️,
☑️,Thumper,Ascendant,,Thunder Thighs,,,,,,,,
☑️,Sassafras,Ascendant,,Azkaban,,,,,,,,
☑️,Rubber,Ascendant,,Baby Maker,,BRACKET,LoremIpsum,,,,,
☑️,Shuttershy,Ascendant,,Gordo,,,,,,,,
☑️,Lefty,Ascendant,,Big Guy,,,,,,,,
☑️,Lulu,Ascendant,,Diesel,,,,,,,,
☑️,Popeye,Diamond,5,Robin,,,,,,,,
☑️,Raisin,Diamond,,Snoopy,,,,,,,,
☑️,Twig,Diamond,,Rambo,,,,,,,,
☑️,Backbone,Diamond,,Sweety,,,,,,,,
☑️,Dearest,Diamond,,Ghoulie,,,,,,,,
☑️,Bossy,Diamond,,Doofus,,,,,,,,
☑️,Rufio,Diamond,,Cowboy,,,,,,,,
☑️,Miss Piggy,Diamond,,Friendo,,,,,,,,
☑️,Slim,Diamond,,Matey,,,,,,,,
☑️,Goose,Diamond,,Fido,,,,,,,,
☑️,Short Shorts,Diamond,,Gumdrop,,,,,,,,
☑️,Little Bear,Diamond,,Chubs,,,,,,,,
☑️,Flyby,Platinum,4,Bud,,,,,,,,
☑️,Jet,Platinum,,Chicken Wing,,,,,,,,
☑️,Darling,Platinum,,Skunk,,,,,,,,
☑️,Dingo,Platinum,,Piggy,,,,,,,,
☑️,Coach,Platinum,,Dragon,,,,,,,,
☑️,T-Dawg,Platinum,,Rosie,,,,,,,,
☑️,Donuts,Platinum,,Mouse,,,,,,,,
☑️,Baby Bird,Platinum,,Redbull,,,,,,,,
☑️,Red Velvet,Platinum,,Goose,,,,,,,,
☑️,Belch,Platinum,,Amethyst,,,,,,,,
☑️,Bellbottoms,Platinum,,Dimpling,,,,,,,,
☑️,Tough Guy,Gold,3,Bandit,,,,,,,,
☑️,Buds,Gold,,Punk,,,,,,,,
☑️,Honeybun,Gold,,Dreamey,,,,,,,,
☑️,Janitor,Gold,,Smudge,,,,,,,,
☑️,Grease,Silver,,Candycane,,,,,,,,
☑️,Chewbacca,Bronze,,Pecan,,,,,,,,
☑️,Chain,Bronze,,,,,,,,,,
